Age of Empires II,aoe2,RPG
Age of Empires III,aom,RPG
Age of Mythology,avp2,FPS
Aliens vs Predator 2,aa,FPS
Americas Army: Operations,bf1942,FPS
Battlefield 2,bf1942-dc,FPS
Battlefield 2- Special Forces,bfviet,FPS
Battlefield 2142,cod,FPS
Battlefield: 1942,cncg,RTS
Battlefield: 1942 - Desert Combat,cncg-zh,RTS
Battlefield: Vietnam,cncren,RTS
Borderlands,dx,FPS/RPG
Call of Duty,diab2,FPS
Call of Duty 2,farcry,FPS
Call of Duty 4: Modern Warfare,freel,SIM/RPG
Call of Duty: Modern Warfare 2,gta4,CARNAGE
Call of Duty: United Offensive,HL,FPS
Civilization IV,halo,FPS
Command & Conquer 3,hw2,SIM/RPG
Command & Conquer: Generals,jk2,FPS/RPG
Command & Conquer: Generals - Zero Hour,jk3,FPS/RPG
Command & Conquer: Red Alert 3,moo2,TBS
Command & Conquer: Renegade,moo3,TBS
Cortex Command,mohaa,FPS
Counter-Strike: Source,mohaa-s,FPS
Crysis,mohaa-b,FPS
Day of Defeat: Source,nfs-u,DRIVING
Defcon,nwn,RPG
Deus Ex,pain,FPS
Diablo II,q2,FPS
Doom 3,q3a,FPS
Empire Earth,r6,FPS
Empire Earth 2,r6-rogue,FPS
Far Cry,r6-raven,FPS
FEAR Combat,sof,FPS
Flatout,sof2,FPS
Flatout 2,sc,RTS
Freelancer,sc-bw,RTS
Garry's Mod,ut,FPS
Ghost Recon,wc3,RTS
Grand Theft Auto 4,wc3-ft,RTS
Half Life 2: Deathmatch,rtcw,FPS
Half-Life,rtcw-et,FPS
Halo [PC],gr,FPS
Homeworld 2,ron,RTS
Jedi Knight 2: Jedi Outcast,css,FPS
Jedi Knight 3: Jedi Academy,dods,FPS
Left 4 Dead,bf2,FPS
Left 4 Dead 2,cod:uo,FPS
Master of Orion 2: Battle At Antares,aoe3,RTS
Master of Orion 3,cod2,FPS
Medal of Honor: Allied Assault,hl2-dm,FPS
Medal of Honor: Allied Assault Breatkthrough,q4,FPS
Medal of Honor: Allied Assault Spearhead,mohpa,FPS
Medal of Honor: Pacific Assault,d3,FPS
Need for Speed: Underground,bf2-sf,FPS
Neverwinter Nights,swbf,FPS
Painkiller,bf2142,FPS
Quake 4,bl,FPS/RPG
Quake II,cod4,FPS
Quake III Arena,codmw2,FPS
Rainbow Six,civ4,TBS
Rainbow Six - Raven Shield,cnc3,RTS
Rainbow Six - Rogue Spear,ra3,RTS
Return to Castle Wolfenstein,crysis,FPS
Return to Castle Wolfenstein: Enemy Territory,defcon,RTS
Rise of Nations,ee,RTS
Soldier of Fortune,ee2,RTS
Soldier of Fortune 2: Double Helix,flatout,DRIVING
Star Wars Battlefront,flatout2,DRIVING
Starcraft,fear,FPS
Starcraft: Broodwar,l4d,FPS
SWAT4,l4d2,FPS
Unreal Tournament,ctxc,RTS
Warcraft III,swat4,FPS
Warcraft III: Frozen Throne,gmod,ANYTHING
